"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-11","0.00","0.0","0.0","50","25","26"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-12","0.02","0.0","0.0","38","17","31"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-13","0.00","0.0","0.0","33","23","28"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-14","0.00","0.0","0.0","35","16","31"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-15","0.00","0.0","0.0","40","17","40"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-16","0.00","0.0","0.0","40","29","35"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-17","0.00","0.0","0.0","40","34","38"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-18","0.00","0.0","0.0","38","24","30"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-19","0.00","0.0","0.0","32","16","26"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-20","0.00","0.0","0.0","35","12","33"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-21","0.11",,"1.0","35","24","33"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-22","0.00","0.0",,"33","10","29"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-23","0.00","0.0",,"37","18","36"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-24","0.00","0.0",,"42","29","40"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-25","0.56",,"5.0","40","28","28"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-26","0.10",,"5.0","31","21","28"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-27","0.00","0.0","3.0","34","12","30"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-28","0.19","0.0",,"33","21","29"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-02-29","0.00","0.0",,"30","13","20"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-01","0.00","0.0","4.0","29","-1","27"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-02","0.00","0.0","3.0","29","13","25"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-03","0.30",,"5.0","29","18","24"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-04","0.00","0.0","5.0","25","8","12"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-05","0.00","0.0","5.0","23","0","20"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-06","0.00","0.0","5.0","27","1","23"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-07","0.10","1.0","6.0","26","14","25"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-08","0.00","0.0","5.0","30","5","30"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-09","0.40","4.0","9.0","30","21","24"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-10","0.00","0.0","7.0","34","14","31"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-11","0.00","0.0","7.0","33","18","27"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-12","0.00","0.0","6.0","32","5","29"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-13","0.00","0.0","5.0","36","8","34"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-14","0.00","0.0","3.0","38","17","34"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-15","0.00","0.0","1.0","39","23","37"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-16","0.23","0.0","0.0","40","28","36"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-17","0.03","0.0","0.0","36","25","31"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-18","0.00","0.0","0.0","37","20","35"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-19","0.00","0.0","0.0","41","24","37"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-20","0.00","0.0","0.0","38","21","33"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-21","0.00","0.0","0.0","35","18","33"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-22","0.00","0.0","0.0","36","27","33"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-23","0.00","0.0","0.0","40","15","38"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-24","0.00","0.0","0.0","40","27","28"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-25","0.00","0.0","0.0","35","13","35"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-26","0.01","0.0","0.0","48","28","45"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-27","0.00","0.0","0.0","73","31","72"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-28","0.00","0.0","0.0","77","55","76"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-29","0.00","0.0","0.0","78","58","76"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-30","0.60","0.0","0.0","76","48","48"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-03-31","0.00","0.0","0.0","50","37","44"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-01","0.00","0.0","0.0","70","42","70"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-02","0.03","0.0","0.0","73","55","71"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-03","0.09","0.0","0.0","72","39","50"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-04","0.00","0.0","0.0","69","39","54"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-05","0.05","0.0","0.0","54","35","45"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-06","0.00","0.0","0.0","65","31","64"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-07","0.00","0.0","0.0","65","35","57"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-08","0.00","0.0","0.0","58","38","50"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-09","0.00","0.0","0.0","51","26","38"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-10","0.00","0.0","0.0","50","21","49"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-11","0.05","0.0","0.0","66","35","65"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-12","0.00","0.0","0.0","78","49","75"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-13","0.00","0.0","0.0","79","56","77"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-14","0.00","0.0","0.0","80","58","78"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-15","0.05","0.0","0.0","80","59","74"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-16","0.17","0.0","0.0","84","60","69"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-17","0.13","0.0","0.0","72","58","63"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-18","0.00","0.0","0.0","64","33","57"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-19","0.00","0.0","0.0","68","35","67"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-20","0.00","0.0","0.0","83","47","80"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-21","0.70","0.0","0.0","80","56","72"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-22","0.00","0.0","0.0","85","53","85"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-23","0.00","0.0","0.0","86","62","83"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-24","0.00","0.0","0.0","88","65","85"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-25","0.00","0.0","0.0","88","66","86"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-04-26","0.12","0.0","0.0","86","59","66"
