"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-02-25","0.62","0.0","0.0","41","31","32"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-02-26","0.04","0.1","0.0","33","28","31"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-02-27","0.00","0.0","0.0","40","23","36"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-02-28","0.03","0.3","0.0","39","28","29"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-02-29","0.16","0.0","0.0","34","20","21"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-01","0.00","0.0","0.0","33","16","30"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-02","0.30","3.6","4.0","33","23","30"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-03","0.75","2.0","5.0","30","18","20"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-04","0.01","0.5","5.0","28","13","15"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-05","0.00","0.0","5.0","27","4","22"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-06","0.01","1.0","3.0","30","9","26"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-07","0.01","1.0","1.0","34","21","31"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-08","0.00","0.0","0.0","38","16","31"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-09","0.87","8.0","8.0","40","34","36"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-10","0.03","0.0","3.0","36","26","34"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-11","0.27","4.5","8.0","37","30","34"
"USC00401790","CLARKSVILLE SEWAGE PLANT, TN US","1960-03-12","0.07","0.0","7.0","34","22","30"
