year,state,daylight,totprcp,totcold,totheat,totprcp_1,totcold_1,totheat_1,totprcp_2,totcold_2,totheat_2,totprcp_3,totcold_3,totheat_3,totprcp_4,totcold_4,totheat_4,totprcp_5,totcold_5,totheat_5
2006,iowa,9.05,36.07,146.0,7.0,36.08,154.0,8.0,35.03000000000001,139.0,0.0,28.749999999999996,156.0,11.0,32.779999999999994,173.0,11.0,32.63,139.0,8.0
2011,iowa,9.05,33.69,149.0,15.0,44.62,136.0,3.0,38.36,137.0,2.0,49.27,159.0,1.0,46.27000000000001,145.0,4.0,36.07,146.0,7.0
1991,kentucky,9.53,47.83999999999999,87.0,19.0,53.25999999999999,86.0,25.0,68.1,98.0,5.0,46.21,110.0,41.0,43.099999999999994,97.0,24.0,42.22,81.0,24.0
1996,kentucky,9.53,62.339999999999996,118.0,4.0,55.36000000000001,98.0,26.0,65.02,93.0,5.0,46.459999999999994,102.0,28.0,49.17,92.0,1.0,47.83999999999999,87.0,19.0
2001,kentucky,9.53,45.79,95.0,4.0,48.220000000000006,103.0,6.0,40.04,91.0,35.0,55.06000000000001,77.0,19.0,50.63999999999999,95.0,12.0,62.339999999999996,118.0,4.0
2006,kentucky,9.53,47.29999999999999,87.0,19.0,38.89,83.0,25.0,58.68000000000001,89.0,0.0,58.06,85.0,0.0,55.13,96.0,22.0,45.79,95.0,4.0
2011,kentucky,9.53,60.339999999999996,65.0,32.0,52.24999999999999,93.0,33.0,47.31,93.0,1.0,38.89,96.0,13.0,35.36,97.0,41.0,47.29999999999999,87.0,19.0
1991,michigan,9.03,42.720000000000006,168.0,7.0,36.7,178.0,1.0,28.0,196.0,1.0,38.08,191.0,21.0,32.849999999999994,186.0,16.0,39.1,184.0,3.0
1996,michigan,9.03,32.379999999999995,197.0,1.0,37.08,187.0,8.0,40.98000000000001,177.0,4.0,36.58,191.0,2.0,34.269999999999996,199.0,0.0,42.720000000000006,168.0,7.0
2001,michigan,9.03,36.06,156.0,8.0,27.37,177.0,0.0,29.220000000000002,174.0,3.0,27.15,155.0,1.0,25.569999999999997,199.0,2.0,32.379999999999995,197.0,1.0
2006,michigan,9.03,42.75,181.0,6.0,31.92,182.0,5.0,30.950000000000003,162.0,0.0,32.589999999999996,176.0,1.0,26.11,195.0,7.0,36.06,156.0,8.0
2011,michigan,9.03,32.97,175.0,6.0,25.63,146.0,2.0,29.96,180.0,1.0,36.96,179.0,0.0,28.48,180.0,5.0,42.75,181.0,6.0
1991,louisiana,10.2,67.77,41.0,74.0,64.16,24.0,95.0,71.07,56.0,55.0,45.37,47.0,84.0,56.059999999999995,46.0,68.0,50.73,43.0,88.0
1996,louisiana,10.2,49.86000000000001,54.0,62.0,51.89000000000001,43.0,84.0,48.88999999999999,42.0,68.0,46.43,41.0,96.0,50.49000000000001,23.0,50.0,67.77,41.0,74.0
2001,louisiana,10.2,68.71000000000001,30.0,47.0,54.370000000000005,48.0,75.0,48.349999999999994,42.0,89.0,56.75999999999999,16.0,92.0,63.830000000000005,23.0,73.0,49.86000000000001,54.0,62.0
2006,louisiana,10.2,51.1,28.0,74.0,43.03000000000001,33.0,92.0,66.6,40.0,34.0,50.6,53.0,57.0,56.43,46.0,69.0,68.71000000000001,30.0,47.0
2011,louisiana,10.2,39.3,50.0,93.0,34.980000000000004,55.0,99.0,68.52,46.0,40.0,51.01,49.0,66.0,44.830000000000005,32.0,45.0,51.1,28.0,74.0
